영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
2u1k9Jkw0Rk,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,디즈니 공주들이 드레스 벗고 츄리닝 입은 진정한 이유?!,1542708,14744,2678,2019-01-09T07:42:46Z
PPM3fnvVNA8,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,"프린세스 유니버스를 꿈꾸는 디즈니 빅픽처, 주먹왕 랄프2 리뷰",334651,2893,758,2019-01-06T01:02:53Z
yhrl6clB1Es,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,"집착왕 랄프의 인터넷 모험, 왜 이렇게 변했지? - 주먹왕 랄프2: 인터넷 속으로 리뷰",47942,738,269,2019-01-11T12:45:00Z
vqDHfPh2v3g,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,[스포없는리뷰] 주먹왕 랄프 2: 인터넷 속으로 - 디즈니가 진화했습니다,38484,1074,288,2019-01-06T02:30:19Z
ATL7_ZRG_rY,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,"Julia Michael - In This Place - 주먹왕 랄프2 OST [한글/번역/가사, ENG-KOR Sub Lyric video]",33916,475,21,2019-01-29T14:23:06Z
sCYvptJQokg,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,주먹왕랄프 카트를 고쳐온 랄프,32446,250,0,2019-01-07T05:18:42Z
91naDr4MPA8,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,주먹왕 랄프 2 보기 전에 꼭 보세요! 전편의 설정과 주요인물 간단 정리!,21998,697,66,2019-01-06T02:38:05Z
VjmMlNgVx_4,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,"핵심 세계관과 1편 요약정리 [줄거리 알려줌] 주먹왕 랄프 2: 인터넷 속으로 (Ralph Breaks the Internet, 2018)",21114,126,12,2019-01-03T09:00:05Z
muCYkDNOepw,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,내가 좋아하는 디즈니 공주들 다 나오네💖💖 | 딩고무비 영덕리뷰 | 주먹왕 랄프 2: 인터넷 속으로,20861,190,14,2019-01-14T07:10:48Z
HXD4MVfH6eQ,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,"ENG) 100초 리뷰, 이 영화 어때? [주먹왕 랄프2: 인터넷 속으로] Ralph Breaks the Internet-Movie Reviewㅣ민소희 Sohee",17765,534,80,2019-01-03T11:52:02Z
ASxgRU4D6CM,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,[디지털 드로잉] 디즈니 공주들이 새롭게 돌아왔다!!  | 주먹왕 랄프 2: 인터넷 속으로 | Ralph Breaks the Internet | Drawing,17597,347,18,2019-01-15T10:56:52Z
dvSTUB2K9kI,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,인터넷처럼 난잡한 영화 :  주먹왕 랄프 2 리뷰,14740,207,57,2019-01-03T09:34:10Z
jErjbOkUxBY,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,이런건 디즈니보다 드림웍스가 훠얼씬 더 잘만든다니까요 - 주먹왕랄프2:인터넷속으로,13534,408,94,2019-01-22T13:00:06Z
YNtMNn_Vpag,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,[Speed Painting] 주먹왕 랄프 2 팬아트 스피드페인팅,10874,193,46,2019-01-16T08:00:02Z
9MnpfShRpco,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,[디지털 드로잉] (무삭제) 랄프&amp;바넬로피+디즈니 공주들 그리기 도전!! | 주먹왕 랄프 2: 인터넷 속으로 | Ralph Breaks the Internet | Drawing,7018,133,4,2019-01-16T10:48:20Z
zqYRV1G52d4,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,주먹왕 랄프2 인터넷 속으로 미니 에듀 스티커북 장난감 놀이💖[토이천국](Ralph Breaks the internet Wreck It Ralph2 sticker toys),6514,53,0,2019-01-05T09:07:21Z
NVi1w4eisq4,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,&#39;디즈니&#39;라서 가능했던 주먹왕 랄프 2 리뷰 (4DX),5541,80,23,2019-01-07T05:09:07Z
n9A7PkYlws4,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,주먹왕랄프 2화 1화,5358,22,0,2019-01-06T07:04:56Z
0uwumnR9m5Y,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,주먹왕 랄프 2 : 인터넷 속으로 _ 🍺영화 리뷰,4876,149,59,2019-01-03T08:39:15Z
T7DjderRx8M,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 영화,주먹왕랄프 슈가러시 입성,3300,24,0,2019-01-07T05:32:12Z
i-u8IP4fgQw,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 명장면,주먹왕랄프 메달 획득,1045,6,1,2019-01-07T05:00:13Z
OXqAwH-ptn4,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 명장면,"[주먹왕 랄프2] 디즈니 공주, 스토리에만 관여한 게 아니다 (2) #디즈니공주들 #전략적입소문 #복잡계",586,3,4,2019-01-24T11:52:38Z
bVoSN7ECqXU,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 리뷰,[주먹왕 랄프2] 디즈니스토어 액션 피규어!_Ralph Breaks the Internet,2863,62,26,2019-01-05T12:20:07Z
xsw4lAqXgNc,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 리뷰,[주먹왕 랄프 2: 인터넷 속으로] 흥행왕 랄프와 극장에서 만나요~,2689,33,3,2019-01-07T00:36:23Z
k4xlA3qsoU0,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 리뷰,영화 주먹왕 랄프2 솔직리뷰,2614,22,12,2019-01-04T08:47:17Z
4YXXl0IkSOw,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 리뷰,친구와의 우정을 그린 영화 주먹왕랄프2 인터넷 속으로 4DX 리뷰와 후기,2193,70,24,2019-01-14T11:00:01Z
lFOt8HrpfSM,주먹왕 랄프 2: 인터넷 속으로,주먹왕 랄프 2: 인터넷 속으로 리뷰,[주먹왕 랄프 2: 인터넷 속으로] 지금이 바로! 랄프 예매할 시간,1779,22,3,2019-01-07T00:34:50Z
