영화 제목,영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
1987,N8lgrc4EMZs,1987,1987 리뷰,1987관람 후 목이 메인 문재인대통령을 보고 결국 오열하는 강동원.,1840826,11625,2295,2018-01-07T05:33:58Z
1987,J2kq3HHipqs,1987,1987 영화,[단독] 박종철 고문치사 당시 지휘관 &#39;31년 만의 고백&#39; / SBS / 더저널리스트 / 김종원 기자 편,727895,5953,815,2018-01-23T06:08:42Z
1987,2jnN7OVzRo8,1987,1987 리뷰,「1987」 공식을 무너뜨린 기발함,598318,4816,771,2017-12-31T01:56:37Z
1987,_RRKuucepKI,1987,1987 영화,"상상 이상의 완성도, 한국 영화의 수준을 다시 보게 하다 : 1987 리뷰 - 쇼킹한 리뷰",507279,4862,706,2018-01-17T09:18:06Z
1987,Psg7Wv7K1Yg,1987,1987 영화,영화 &#39;1987&#39;의 실제 인물에게 듣는 그때의 이야기! &#39;나는 왜 그때 입을 열었나&#39;,502998,6574,587,2018-01-12T23:30:01Z
1987,2VWiCpYeK-I,1987,1987 영화,영화 &#39;1987&#39; 무대인사_배우들의 계속되는 신과함께 드립에ㅋㅋㅋ @용산CGV 12관+15관 (20171231),477281,1833,87,2017-12-31T14:25:06Z
1987,VSuYCM1rtLc,1987,1987 리뷰,1987 WHEN THE DAY COMES | Korean | Teaser Trailer Reaction w/ Andrea!,265434,1464,176,2017-12-31T12:30:04Z
1987,zscfDaTPKZE,1987,1987 영화,민주화 운동에 참여했던 사람들이 영화 &#39;1987&#39; 본 썰 [영화.ssul],244437,4509,551,2018-01-04T02:30:12Z
1987,LWVG4_wVUg8,1987,1987 영화,영화 ‘1987’이 다 담지 못한 전두환 독재의 민낯 [심용환의 근현대사 똑바로 보기],191968,1188,324,2018-01-03T20:30:00Z
1987,1uoFZqkw6kk,1987,1987 영화,&#39;1987&#39; 현장 비하인드 영상,146224,1056,65,2018-01-10T08:59:30Z
23 아이덴티티,T6kahMZJi9w,23 아이덴티티,23 아이덴티티 영화,23명에게 납치 감금된 세계 최고 미녀!,727420,1067,220,2017-03-02T07:56:14Z
23 아이덴티티,IZv572PBPAg,23 아이덴티티,23 아이덴티티 영화,[23아이덴티티]에서 당신이 모르고 있던 사실들[스포 有],176158,1098,225,2017-02-28T11:30:00Z
23 아이덴티티,d8N8s8TGIho,23 아이덴티티,23 아이덴티티 영화,언브레이커블 - 23 아이덴티티의 만남 = 글래스,106492,562,105,2017-03-01T02:00:02Z
