영화 제목,영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
검객,D3oecFZmPnM,검객,검객 영화,"역대 최고 중 하나가 된 무협 영화, 진시황의 앞에 섰던 검객의 이야기 [영화리뷰]",850379,5064,744,2020-09-25T07:21:37Z
검객,mQxVJZvflBs,검객,검객 영화,"맹인 지팡이 속 숨겨진 칼날의 비밀, 검객 자토이치의 정체 [영화리뷰/결말포함]",684936,5002,1025,2020-10-03T07:51:07Z
검객,3pFteU56o5w,검객,검객 영화,아이를 업은 채 적들을 쓸어버리는 몰락한 가문 최강의 검객! [영화리뷰/결말포함],306156,2776,241,2020-10-11T12:06:41Z
검객,oE9arnb-krE,검객,검객 영화,신민아와 장혁이 각각 다른 영화로 돌아왔다: 디바 &amp; 검객 미리 보고 온 후기,32575,599,104,2020-09-23T08:00:12Z
검객,dBU9XjCn1_0,검객,검객 영화,검객 THE SWORDSMAN on＜KBS2 &#39;영화가좋다 I love movie&#39; 2020/10/03 aird＞ Jang Hyuk 장혁,27614,149,22,2020-10-03T02:33:33Z
검객,YFDUSN6_ECg,검객,검객 영화,[영화리뷰 결말포함] 맹인 검객과 그의 제자가 역모를 막기 위해 한양을 가면 벌어지는 일 ?!!,26589,141,12,2020-10-05T11:28:46Z
검객,O_bl4JOrbA4,검객,검객 영화,동네양아치들이 멋모르고 맹인검객에게 찝적댄다면? (결말포함)(영화리뷰) 킬링타임용 일본액션영화~,22092,198,19,2020-10-07T08:55:30Z
검객,7oOILJsW1Mk,검객,검객 리뷰,The Swordsman (2020) Korean Movie Review 검객 Jang Hyuk - ACTION! 리뷰,14952,132,50,2020-09-26T16:10:34Z
검객,kDBysXrmO6c,검객,검객 영화,"[검객]리뷰:전형적인 코시국영화,그냥 그래요....",6734,64,145,2020-09-24T08:21:33Z
검객,Cu1NoQamNB4,검객,검객 영화,사극 + 액션! 전공 분야로 돌아온#장혁 X #김현수 &#39;검객&#39; [팬터뷰],4690,74,6,2020-09-23T01:00:01Z
겨울왕국 2,CnXR8a0gowI,겨울왕국 2,겨울왕국 2 영화,겨울왕국2 엘사에 미친 사람의 최후 (아아아아! 애니메이션),37105811,110555,3451,2019-12-14T02:45:00Z
겨울왕국 2,kSvHU6uAXfc,겨울왕국 2,겨울왕국 2 영화,겨울왕국2 OST ❄️ Show Yourself - Idina Menzel(이디나 멘젤) [가사/해석/발음/한글/자막/lyrics],23998441,154834,8318,2019-11-24T14:00:07Z
겨울왕국 2,kRRG_xJiae8,겨울왕국 2,겨울왕국 2 영화,겨울왕국2 OST ❄️ 자장가 All Is Found - Evan Rachel Wood [예고편/가사해석/발음/한글/자막/lyrics],8376497,53166,2089,2019-11-26T13:42:32Z
겨울왕국 2,jc9UMiGcCVg,겨울왕국 2,겨울왕국 2 영화,Frozen 2 in a nutshell ⛄️,6590491,255988,17051,2019-12-02T02:34:01Z
