영화 제목,영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
#살아있다,wm06nhjoAQ8,#살아있다,#살아있다 영화,"그냥 죽지 그랬냐, 좀비 속에서 먹방찍기... 살아있다 리뷰",1214881,14148,3485,2020-07-05T03:15:11Z
#살아있다,JbUo9nId6hA,#살아있다,#살아있다 영화,아.. 이건 아니잖아... 고민 없이 만든 한국형 좀비영화의 한계: #살아있다 리뷰,502061,5181,2076,2020-06-29T10:00:13Z
#살아있다,zBBuVe1tRwk,#살아있다,#살아있다 영화,#음악추천 Inni - Sail / 영화 살아있다 OST (alive Soundtrack),249380,10777,643,2020-06-29T14:22:40Z
#살아있다,LRE0y_0-b4E,#살아있다,#살아있다 영화,《살아있다》 개봉 첫날 7000원 내고 보고 왔습니다 (개봉 첫날 가장 빠른 리뷰),247838,2543,1096,2020-06-24T09:06:46Z
#살아있다,71w4EvqFydg,#살아있다,#살아있다 영화,#살아있다 OST - Sail,218969,5082,1041,2020-06-29T09:40:48Z
#살아있다,XOjUOkQPX_A,#살아있다,#살아있다 영화,[#살아있다] 생존자 케미 특별 영상,209467,1801,172,2020-07-08T09:00:10Z
#살아있다,X91urbAr_Zc,#살아있다,#살아있다 영화,『살아있다』 스포일러가 포함되어 있는 리뷰,128683,1642,654,2020-06-26T06:21:36Z
#살아있다,vvjku41900k,#살아있다,#살아있다 리뷰,#살아있다 가이드 리뷰,79119,1503,464,2020-06-26T10:00:21Z
#살아있다,BEqpGppnN0g,#살아있다,#살아있다 영화,#살아있다 예고편 해외 반응! 한국 좀비영화=꿀잼각?,58563,2023,239,2020-06-25T06:17:00Z
#살아있다,YzS9h3T2bXY,#살아있다,#살아있다 해석,"#살아있다 OST - Sail 1시간,끊김없음",47037,610,218,2020-06-30T07:25:32Z
1917,L_EZ-iupsiE,1917,1917 영화,[1917 OST 한영가사] 병사들이 숲에서 부르던 노래/Jos Slovick - I Am a Poor Wayfaring Stranger,237812,4237,633,2020-02-23T05:44:41Z
1917,Exwtv6G7ulo,1917,1917 영화,1917이 촬영에 쓴 몇 가지 속임수,174211,2281,333,2020-02-27T09:00:05Z
1917,xNviPjXjIDQ,1917,1917 영화,1917 가이드 리뷰,145512,2166,582,2020-02-21T09:00:11Z
1917,Tqnd-e5BDxs,1917,1917 영화,"죽음의 헤치는 나그네의 여정, 그 앞에 금빛 동산은 예비되었는가: 1917 리뷰",100104,1664,248,2020-03-18T05:00:14Z
1917,p_JBwaeOHsM,1917,1917 영화,극장에서 안 보면 반드시 후회할 영화,55871,1068,433,2020-02-19T09:32:15Z
1917,P1YAHej7uyE,1917,1917 영화,I Am a Poor Wayfaring Stranger (1917 ost) 한글 자막 번역 해석 가사,28480,358,75,2020-02-23T12:02:50Z
1917,_YKraQmDed8,1917,1917 영화,떠오르는 전쟁영화 &#39;1917&#39; 비하인드 스토리 20가지ㅣ영화 추천 스포포함ㅣ최신영화 영화리뷰,14837,213,14,2020-02-20T02:00:02Z
1917,bZ1kXb95wvc,1917,1917 영화,"카메라의, 카메라에 의한, 카메라를 위한 영화 1917 심층 리뷰 | 스포, 결말 포함 [무비썸126]",12169,202,25,2020-03-06T10:24:55Z
