영화 제목,영상 id,영화 제목,검색 키워드,영상 제목,조회수,좋아요수,댓글 수,생성된 날짜
82년생 김지영,U76G-P-lfcI,82년생 김지영,82년생 김지영 영화,미경언니가 82년생 김지영을 보고 울지 않았던 이유! - 미경언니의 따끈따끈 독설,697132,12363,2430,2019-11-05T13:00:08Z
82년생 김지영,ZKyxqfXXNlI,82년생 김지영,82년생 김지영 영화,"82년생 김지영 영화, 현재 최대 피해자",682222,12295,2940,2019-10-26T00:13:33Z
82년생 김지영,ovW7X4_CuaI,82년생 김지영,82년생 김지영 영화,인성 무삭제]82년생 김지영을 보고 양심고백합니다,542019,22992,4148,2019-11-16T11:00:15Z
82년생 김지영,lRqQQtafHbI,82년생 김지영,82년생 김지영 영화,"‘82년생 김지영’, 가장 놀라운 장면과 가장 울컥한 장면(스포일러 주의!!)",477112,3781,2690,2019-10-24T10:53:21Z
82년생 김지영,jpAasWsfm6I,82년생 김지영,82년생 김지영 영화,소설의 한계를 극복한 화제의 영화: 82년생 김지영 리뷰,255765,4126,3708,2019-10-25T13:30:02Z
82년생 김지영,P9jRtN6gVPA,82년생 김지영,82년생 김지영 영화,82년생 김지영 남편 공유의 입장에서 생각해봤습니다 - 미경언니의 따끈따끈 독설,225503,5454,967,2019-11-18T13:00:05Z
82년생 김지영,GmYXxnR0-Yo,82년생 김지영,82년생 김지영 영화,"박스오피스 1위 &#39;82년생 김지영&#39;. 해외 반응 총정리 (feat. 일본, 타이완, 중국) / 스브스뉴스",219279,5403,5327,2019-10-27T02:00:00Z
82년생 김지영,Fo_igWHAdEA,82년생 김지영,82년생 김지영 영화,영화 &#39;82년생 김지영&#39; 리뷰,215540,5567,802,2019-10-25T06:00:17Z
82년생 김지영,5rd_jyPfUWI,82년생 김지영,82년생 김지영 영화,82년생 김지영 영화 직접 본 솔직 리뷰,208775,4555,1362,2019-10-24T12:10:33Z
82년생 김지영,5UYSerdR9Sc,82년생 김지영,82년생 김지영 영화,이 시점에 나타난 82년생 김지영의 가치와 의의,199192,5692,1711,2019-10-27T12:39:14Z
극한직업,YcMZZ3sjfxk,극한직업,극한직업 영화,"극한직업, 닭으로 닥치고 천만 찍어버릴 영화!",1718827,9951,1846,2019-02-02T01:01:58Z
극한직업,7DRDMuMdxVY,극한직업,극한직업 영화,극한직업 수원왕갈비통닭을 먹었습니다.맛상무,893275,4965,1309,2019-02-10T05:45:02Z
극한직업,8iQg4napg90,극한직업,극한직업 영화,영화 &quot;극한직업&quot;의  촬영 비하인드 스토리,874344,6357,1812,2019-02-03T05:19:01Z
극한직업,jFd1X9j_9Os,극한직업,극한직업 영화,명절 개봉영화의 역사를 새로쓰는 영화 : &#39;극한직업&#39;리뷰,776131,2883,578,2019-01-31T13:02:53Z
극한직업,-iHkdgvLBlY,극한직업,극한직업 영화,웃다 지린다고 소문난 극한직업 보고 만든 웃긴 영화 볼 때 갑분싸 유형ㅋㅋㅋㅋㅋㅋㅋㅋ,632532,10512,1410,2019-01-25T08:46:13Z
극한직업,jGGPZKekX0s,극한직업,극한직업 영화,영화에 나온 치킨을 직접만들어서 친구에게 줬더니 반응이 ㅋㅋㅋㅋㅋ (극한직업 수원왕갈비통닭 만들기 ㅋㅋㅋㅋ),534181,8022,2899,2019-02-03T03:02:00Z
극한직업,PwefBCv1sp8,극한직업,극한직업 영화,치킨 장사 대박난 마약반 형사들의 어정쩡한 코미디: 극한직업 리뷰,282719,2012,1511,2019-01-25T15:58:45Z
